Time,Data
699851679,0.000000
700009214,0.000000
700168435,0.000000
700326025,0.000000
700484338,0.000000
700642058,0.000000
700800353,0.000000
700958832,0.000000
701116997,0.000000
701274995,0.000000
701433400,0.000000
701797914,0.000000
701956116,0.000000
702173021,0.000000
702330963,0.000000
702489572,0.000000
702647070,0.000000
702864957,0.000000
703022992,0.000000
703240063,0.000000
703398117,0.000000
703556485,0.000000
703772890,0.000000
703931017,0.000000
704102886,0.000000
704263569,0.000000
704421252,0.000000
704579676,0.000000
704739989,0.000000
704956893,0.000000
705114929,0.000000
705272741,0.000000
705429758,0.000000
705586812,0.000000
705745013,0.000000
705962066,0.000000
706120120,0.000000
706277951,0.000000
706494985,0.000000
706653020,0.000000
706810759,0.000000
706967942,0.000000
707186236,0.000000
707343864,0.000000
707501843,0.000000
707659767,0.000000
707876950,0.000000
708034670,0.000000
708193520,0.000000
708351018,0.000000
708568978,0.000000
708727032,0.000000
708943751,0.000000
709100934,0.000000
709258766,0.000000
709415931,0.000000
709573929,0.000000
709733927,0.000000
709892591,0.000000
710109218,0.000000
710266883,0.000000
710424881,0.000000
710583175,0.000000
710742729,0.000000
710901616,0.000000
711058873,0.000000
711217130,0.000000
711375665,0.000000
711532645,0.000000
711689754,0.000000
711907585,0.000000
712064842,0.000000
712283524,0.000000
712441985,0.000000
712658835,0.000000
712817018,0.000000
712975238,0.000000
713191995,0.000000
713349826,0.000000
713508046,0.000000
713665804,0.000000
713825690,0.000000
714043132,0.000000
714201130,0.000000
714359017,0.000000
714516608,0.000000
714677124,0.000000
714834641,0.000000
714991806,0.000000
715150248,0.000000
715309931,0.000000
715467781,0.000000
715686019,0.000000
715903035,0.000000
716122699,0.000000
716280975,0.000000
716438584,0.000000
716596897,0.000000
716754765,0.000000
716912615,0.000000
717069965,0.000000
717228222,0.000000
717386776,0.000000
717544755,0.000000
717761549,0.000000
717918658,0.000000
718076934,0.000000
718235136,0.000000
718394745,0.000000
718552743,0.000000
718710870,0.000000
718927886,0.000000
719085421,0.000000
719242753,0.000000
719400621,0.000000
719558786,0.000000
719717876,0.000000
719875578,0.000000
720094150,0.000000
720251814,0.000000
720410664,0.000000
720627013,0.000000
720784678,0.000000
720942954,0.000000
721100748,0.000000
721260468,0.000000
721478169,0.000000
721635630,0.000000
721853665,0.000000
722011663,0.000000
722228623,0.000000
722386510,0.000000
722603748,0.000000
722761764,0.000000
722919818,0.000000
723077872,0.000000
723236666,0.000000
723394516,0.000000
723552255,0.000000
723709567,0.000000
723866714,0.000000
724026471,0.000000
724184617,0.000000
724341782,0.000000
724560038,0.000000
724717666,0.000000
724935830,0.000000
725093921,0.000000
725251419,0.000000
725409009,0.000000
725569470,0.000000
725726765,0.000000
725884855,0.000000
726042816,0.000000
726201722,0.000000
726359497,0.000000
726516681,0.000000
726675271,0.000000
726834788,0.000000
726992841,0.000000
727209635,0.000000
727367800,0.000000
727525483,0.000000
727683055,0.000000
727843812,0.000000
728001829,0.000000
728161827,0.000000
728319825,0.000000
728536711,0.000000
728755005,0.000000
728912595,0.000000
729070297,0.000000
729287424,0.000000
729444496,0.000000
729601402,0.000000
729759270,0.000000
729916694,0.000000
730074470,0.000000
730291634,0.000000
730449984,0.000000
730666685,0.000000
730825294,0.000000
731041680,0.000000
731199752,0.000000
731416564,0.000000
731574618,0.000000
731791652,0.000000
731949909,0.000000
732108907,0.000000
